time_utc,discharge_cfs,unit,approval_status,qualifier,time_local
2018-09-12 02:30:00+00:00,91.7,ft^3/s,Approved,,2018-09-11 22:30:00-04:00
2018-09-12 02:45:00+00:00,90.8,ft^3/s,Approved,,2018-09-11 22:45:00-04:00
2018-09-12 03:00:00+00:00,89.9,ft^3/s,Approved,,2018-09-11 23:00:00-04:00
2018-09-12 03:15:00+00:00,89.0,ft^3/s,Approved,,2018-09-11 23:15:00-04:00
2018-09-12 03:30:00+00:00,88.1,ft^3/s,Approved,,2018-09-11 23:30:00-04:00
2018-09-12 03:45:00+00:00,87.3,ft^3/s,Approved,,2018-09-11 23:45:00-04:00
2018-09-12 04:00:00+00:00,86.4,ft^3/s,Approved,,2018-09-12 00:00:00-04:00
2018-09-12 04:15:00+00:00,85.5,ft^3/s,Approved,,2018-09-12 00:15:00-04:00
2018-09-12 04:30:00+00:00,84.7,ft^3/s,Approved,,2018-09-12 00:30:00-04:00
2018-09-12 04:45:00+00:00,84.7,ft^3/s,Approved,,2018-09-12 00:45:00-04:00
2018-09-12 05:00:00+00:00,83.8,ft^3/s,Approved,,2018-09-12 01:00:00-04:00
2018-09-12 05:15:00+00:00,83.8,ft^3/s,Approved,,2018-09-12 01:15:00-04:00
2018-09-12 05:30:00+00:00,83.0,ft^3/s,Approved,,2018-09-12 01:30:00-04:00
2018-09-12 05:45:00+00:00,83.0,ft^3/s,Approved,,2018-09-12 01:45:00-04:00
2018-09-12 06:00:00+00:00,82.2,ft^3/s,Approved,,2018-09-12 02:00:00-04:00
2018-09-12 06:15:00+00:00,82.2,ft^3/s,Approved,,2018-09-12 02:15:00-04:00
2018-09-12 06:30:00+00:00,81.4,ft^3/s,Approved,,2018-09-12 02:30:00-04:00
2018-09-12 06:45:00+00:00,81.4,ft^3/s,Approved,,2018-09-12 02:45:00-04:00
2018-09-12 07:00:00+00:00,80.6,ft^3/s,Approved,,2018-09-12 03:00:00-04:00
2018-09-12 07:15:00+00:00,80.6,ft^3/s,Approved,,2018-09-12 03:15:00-04:00
2018-09-12 07:30:00+00:00,80.6,ft^3/s,Approved,,2018-09-12 03:30:00-04:00
2018-09-12 07:45:00+00:00,80.6,ft^3/s,Approved,,2018-09-12 03:45:00-04:00
2018-09-12 08:00:00+00:00,79.8,ft^3/s,Approved,,2018-09-12 04:00:00-04:00
2018-09-12 08:15:00+00:00,79.8,ft^3/s,Approved,,2018-09-12 04:15:00-04:00
2018-09-12 08:30:00+00:00,79.1,ft^3/s,Approved,,2018-09-12 04:30:00-04:00
2018-09-12 08:45:00+00:00,79.1,ft^3/s,Approved,,2018-09-12 04:45:00-04:00
2018-09-12 09:00:00+00:00,79.1,ft^3/s,Approved,,2018-09-12 05:00:00-04:00
2018-09-12 09:15:00+00:00,78.3,ft^3/s,Approved,,2018-09-12 05:15:00-04:00
2018-09-12 09:30:00+00:00,78.3,ft^3/s,Approved,,2018-09-12 05:30:00-04:00
2018-09-12 09:45:00+00:00,78.3,ft^3/s,Approved,,2018-09-12 05:45:00-04:00
2018-09-12 10:00:00+00:00,77.5,ft^3/s,Approved,,2018-09-12 06:00:00-04:00
