time_local,rainfall_inches,discharge_cfs,rainfall_missing,streamflow_missing
2018-09-16 08:00:00-04:00,0.24448083624143951,,False,True
2018-09-16 09:00:00-04:00,0.41718486581068714,,False,True
2018-09-16 10:00:00-04:00,0.04224924838466618,,False,True
2018-09-16 11:00:00-04:00,0.07185039704749017,,False,True
2018-09-16 12:00:00-04:00,0.03092575035081881,66500.0,False,False
2018-09-16 13:00:00-04:00,0.0,,False,True
2018-09-16 14:00:00-04:00,0.0,,False,True
2018-09-16 15:00:00-04:00,0.0,,False,True
2018-09-16 16:00:00-04:00,0.02881006883446749,,False,True
2018-09-16 17:00:00-04:00,0.03994959344119284,,False,True
2018-09-16 18:00:00-04:00,0.007947605697864272,62400.0,False,False
2018-09-16 19:00:00-04:00,0.0023916409990980317,,False,True
2018-09-16 20:00:00-04:00,0.018231659388557964,,False,True
2018-09-16 21:00:00-04:00,0.024091178866988628,,False,True
2018-09-16 22:00:00-04:00,0.011443080219775775,,False,True
2018-09-16 23:00:00-04:00,0.08179410198805252,,False,True
2018-09-17 00:00:00-04:00,0.02361285025486226,56400.0,False,False
2018-09-17 01:00:00-04:00,0.0020512921612418347,,False,True
2018-09-17 02:00:00-04:00,0.0,,False,True
2018-09-17 03:00:00-04:00,0.01893995288753713,,False,True
2018-09-17 04:00:00-04:00,0.06299212911602887,,False,True
2018-09-17 05:00:00-04:00,0.02524100553823611,,False,True
2018-09-17 06:00:00-04:00,0.0,49900.0,False,False
2018-09-17 07:00:00-04:00,0.0,,False,True
2018-09-17 08:00:00-04:00,1.8397259373598425e-05,,False,True
2018-09-17 09:00:00-04:00,0.00155456655291639,,False,True
2018-09-17 10:00:00-04:00,0.0008922661365775985,,False,True
2018-09-17 11:00:00-04:00,0.006006697904318843,,False,True
2018-09-17 12:00:00-04:00,0.004084187238559752,45200.0,False,False
2018-09-17 13:00:00-04:00,0.024192362982088638,,False,True
2018-09-17 14:00:00-04:00,0.002364045592524268,,False,True
2018-09-17 15:00:00-04:00,0.04212966698826136,,False,True
2018-09-17 16:00:00-04:00,0.0006439032885524567,,False,True
2018-09-17 17:00:00-04:00,0.0,,False,True
2018-09-17 18:00:00-04:00,0.0,41300.0,False,False
2018-09-17 19:00:00-04:00,0.0,,False,True
2018-09-17 20:00:00-04:00,0.0,,False,True
2018-09-17 21:00:00-04:00,0.0,,False,True
2018-09-17 22:00:00-04:00,0.0,,False,True
2018-09-17 23:00:00-04:00,0.0,,False,True
2018-09-18 00:00:00-04:00,0.0,37400.0,False,False
2018-09-18 01:00:00-04:00,0.0,,False,True
2018-09-18 02:00:00-04:00,0.0,,False,True
2018-09-18 03:00:00-04:00,0.0,,False,True
2018-09-18 04:00:00-04:00,0.0,,False,True
2018-09-18 05:00:00-04:00,0.0,,False,True
2018-09-18 06:00:00-04:00,0.0,33000.0,False,False
2018-09-18 07:00:00-04:00,0.0,,False,True
2018-09-18 08:00:00-04:00,0.0008002799274344331,,False,True
2018-09-18 09:00:00-04:00,0.00011038353431039372,,False,True
2018-09-18 10:00:00-04:00,0.0,,False,True
2018-09-18 11:00:00-04:00,0.0,,False,True
2018-09-18 12:00:00-04:00,0.0,28500.0,False,False
2018-09-18 13:00:00-04:00,0.0,,False,True
2018-09-18 14:00:00-04:00,0.0,,False,True
2018-09-18 15:00:00-04:00,0.0,,False,True
2018-09-18 16:00:00-04:00,0.0,,False,True
2018-09-18 17:00:00-04:00,0.018139673442589332,,False,True
2018-09-18 18:00:00-04:00,0.01835124174993606,24400.0,False,False
2018-09-18 19:00:00-04:00,0.0,,False,True
2018-09-18 20:00:00-04:00,0.0,,False,True
2018-09-18 21:00:00-04:00,0.0,,False,True
2018-09-18 22:00:00-04:00,0.0,,False,True
2018-09-18 23:00:00-04:00,0.0,,False,True
2018-09-19 00:00:00-04:00,0.0,19900.0,False,False
2018-09-19 01:00:00-04:00,0.0,,False,True
2018-09-19 02:00:00-04:00,0.0,,False,True
2018-09-19 03:00:00-04:00,0.0,,False,True
2018-09-19 04:00:00-04:00,0.0,,False,True
2018-09-19 05:00:00-04:00,0.0,,False,True
2018-09-19 06:00:00-04:00,0.0,15600.0,False,False
2018-09-19 07:00:00-04:00,0.0,,False,True
2018-09-19 08:00:00-04:00,0.0,,False,True
2018-09-19 09:00:00-04:00,0.0,,False,True
2018-09-19 10:00:00-04:00,0.0,,False,True
2018-09-19 11:00:00-04:00,0.0,,False,True
2018-09-19 12:00:00-04:00,0.0,11800.0,False,False
2018-09-19 13:00:00-04:00,0.0,,False,True
2018-09-19 14:00:00-04:00,0.0,,False,True
2018-09-19 15:00:00-04:00,0.0,,False,True
2018-09-19 16:00:00-04:00,0.0,,False,True
2018-09-19 17:00:00-04:00,0.0,,False,True
2018-09-19 18:00:00-04:00,0.0,8560.0,False,False
2018-09-19 19:00:00-04:00,0.0,,False,True
2018-09-19 20:00:00-04:00,0.0,,False,True
2018-09-19 21:00:00-04:00,0.0,,False,True
2018-09-19 22:00:00-04:00,0.0,,False,True
2018-09-19 23:00:00-04:00,0.0,,False,True
2018-09-20 00:00:00-04:00,0.0,5850.0,False,False
2018-09-20 01:00:00-04:00,0.0,,False,True
2018-09-20 02:00:00-04:00,0.0,,False,True
2018-09-20 03:00:00-04:00,0.0,,False,True
2018-09-20 04:00:00-04:00,0.0,,False,True
2018-09-20 05:00:00-04:00,0.0,,False,True
2018-09-20 06:00:00-04:00,0.0,3920.0,False,False
2018-09-20 07:00:00-04:00,0.0,,False,True
2018-09-20 08:00:00-04:00,0.0,,False,True
2018-09-20 09:00:00-04:00,0.0,,False,True
2018-09-20 10:00:00-04:00,0.0,,False,True
2018-09-20 11:00:00-04:00,0.0,,False,True
2018-09-20 12:00:00-04:00,0.0,,False,True
2018-09-20 13:00:00-04:00,0.0,3275.0,False,False
2018-09-20 14:00:00-04:00,0.0,3212.5,False,False
2018-09-20 15:00:00-04:00,0.0,3170.0,False,False
2018-09-20 16:00:00-04:00,0.0,3120.0,False,False
2018-09-20 17:00:00-04:00,0.0,3072.5,False,False
2018-09-20 18:00:00-04:00,0.0,3022.5,False,False
2018-09-20 19:00:00-04:00,0.0,2982.5,False,False
2018-09-20 20:00:00-04:00,0.0,2932.5,False,False
2018-09-20 21:00:00-04:00,0.0,2797.5,False,False
2018-09-20 22:00:00-04:00,0.0,2837.5,False,False
2018-09-20 23:00:00-04:00,0.0,2682.5,False,False
2018-09-21 00:00:00-04:00,0.0,2707.5,False,False
2018-09-21 01:00:00-04:00,0.0,2555.0,False,False
2018-09-21 02:00:00-04:00,0.0,2632.5,False,False
2018-09-21 03:00:00-04:00,0.0,2555.0,False,False
2018-09-21 04:00:00-04:00,0.0,2465.0,False,False
2018-09-21 05:00:00-04:00,0.0,2447.5,False,False
2018-09-21 06:00:00-04:00,0.0,2382.5,False,False
2018-09-21 07:00:00-04:00,0.0,2350.0,False,False
2018-09-21 08:00:00-04:00,0.0,2312.5,False,False
2018-09-21 09:00:00-04:00,0.0,2260.0,False,False
2018-09-21 10:00:00-04:00,0.0,2212.5,False,False
2018-09-21 11:00:00-04:00,0.0,2170.0,False,False
2018-09-21 12:00:00-04:00,0.0,2122.5,False,False
2018-09-21 13:00:00-04:00,0.0,2085.0,False,False
2018-09-21 14:00:00-04:00,0.0,2037.5,False,False
2018-09-21 15:00:00-04:00,0.0,1990.0,False,False
2018-09-21 16:00:00-04:00,0.0,1945.0,False,False
2018-09-21 17:00:00-04:00,0.0,1912.5,False,False
2018-09-21 18:00:00-04:00,0.0,1870.0,False,False
2018-09-21 19:00:00-04:00,0.0,1837.5,False,False
2018-09-21 20:00:00-04:00,0.0,1805.0,False,False
2018-09-21 21:00:00-04:00,0.0,1775.0,False,False
2018-09-21 22:00:00-04:00,0.0,1737.5,False,False
2018-09-21 23:00:00-04:00,0.0,1707.5,False,False
2018-09-22 00:00:00-04:00,0.0,1677.5,False,False
2018-09-22 01:00:00-04:00,0.0,1645.0,False,False
2018-09-22 02:00:00-04:00,0.0,1615.0,False,False
2018-09-22 03:00:00-04:00,0.0,1585.0,False,False
2018-09-22 04:00:00-04:00,0.0,1555.0,False,False
2018-09-22 05:00:00-04:00,0.0,1525.0,False,False
2018-09-22 06:00:00-04:00,0.0,1490.0,False,False
2018-09-22 07:00:00-04:00,0.0,1462.5,False,False
2018-09-22 08:00:00-04:00,0.0,1432.5,False,False
2018-09-22 09:00:00-04:00,0.0,1402.5,False,False
2018-09-22 10:00:00-04:00,0.0,1375.0,False,False
2018-09-22 11:00:00-04:00,0.0,1345.0,False,False
2018-09-22 12:00:00-04:00,0.0,1317.5,False,False
2018-09-22 13:00:00-04:00,0.0,1290.0,False,False
2018-09-22 14:00:00-04:00,0.0,1265.0,False,False
2018-09-22 15:00:00-04:00,0.0,1237.5,False,False
2018-09-22 16:00:00-04:00,0.0,1217.5,False,False
2018-09-22 17:00:00-04:00,0.0,1190.0,False,False
2018-09-22 18:00:00-04:00,0.0,1170.0,False,False
2018-09-22 19:00:00-04:00,0.0,1145.0,False,False
2018-09-22 20:00:00-04:00,0.0,1122.5,False,False
2018-09-22 21:00:00-04:00,0.0,1102.5,False,False
2018-09-22 22:00:00-04:00,0.0,1080.0,False,False
2018-09-22 23:00:00-04:00,0.0,1055.0,False,False
