site_id,site_name,time_utc,time_local,discharge_cfs,unit,parameter_code,approval_status,qualifier
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 15:45:00+00:00,2018-09-11 11:45:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 16:00:00+00:00,2018-09-11 12:00:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 16:15:00+00:00,2018-09-11 12:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 16:30:00+00:00,2018-09-11 12:30:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 16:45:00+00:00,2018-09-11 12:45:00-04:00,38.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 17:00:00+00:00,2018-09-11 13:00:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 17:15:00+00:00,2018-09-11 13:15:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 17:30:00+00:00,2018-09-11 13:30:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 17:45:00+00:00,2018-09-11 13:45:00-04:00,38.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 18:00:00+00:00,2018-09-11 14:00:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 18:15:00+00:00,2018-09-11 14:15:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 18:30:00+00:00,2018-09-11 14:30:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 18:45:00+00:00,2018-09-11 14:45:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 19:00:00+00:00,2018-09-11 15:00:00-04:00,39.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 19:15:00+00:00,2018-09-11 15:15:00-04:00,39.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 19:30:00+00:00,2018-09-11 15:30:00-04:00,39.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 19:45:00+00:00,2018-09-11 15:45:00-04:00,39.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 20:00:00+00:00,2018-09-11 16:00:00-04:00,39.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 20:15:00+00:00,2018-09-11 16:15:00-04:00,39.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 20:30:00+00:00,2018-09-11 16:30:00-04:00,39.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 20:45:00+00:00,2018-09-11 16:45:00-04:00,40.1,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 21:00:00+00:00,2018-09-11 17:00:00-04:00,40.1,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 21:15:00+00:00,2018-09-11 17:15:00-04:00,40.1,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 21:30:00+00:00,2018-09-11 17:30:00-04:00,40.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 21:45:00+00:00,2018-09-11 17:45:00-04:00,40.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 22:00:00+00:00,2018-09-11 18:00:00-04:00,40.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 22:15:00+00:00,2018-09-11 18:15:00-04:00,40.5,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 22:30:00+00:00,2018-09-11 18:30:00-04:00,40.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 22:45:00+00:00,2018-09-11 18:45:00-04:00,40.9,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 23:00:00+00:00,2018-09-11 19:00:00-04:00,41.3,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 23:15:00+00:00,2018-09-11 19:15:00-04:00,41.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 23:30:00+00:00,2018-09-11 19:30:00-04:00,41.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-11 23:45:00+00:00,2018-09-11 19:45:00-04:00,41.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-12 00:00:00+00:00,2018-09-11 20:00:00-04:00,41.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-12 00:15:00+00:00,2018-09-11 20:15:00-04:00,41.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-12 00:30:00+00:00,2018-09-11 20:30:00-04:00,41.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-12 00:45:00+00:00,2018-09-11 20:45:00-04:00,41.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-12 01:00:00+00:00,2018-09-11 21:00:00-04:00,41.7,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-12 01:15:00+00:00,2018-09-11 21:15:00-04:00,42.2,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-12 01:30:00+00:00,2018-09-11 21:30:00-04:00,42.2,ft^3/s,00060,Approved,
USGS-02092500,"Trent River near Trenton, NC",2018-09-12 01:45:00+00:00,2018-09-11 21:45:00-04:00,42.2,ft^3/s,00060,Approved,
